sorting duration: 2.248000
id, time, values
1, 22:12:45, 0.8
1, 27:20:15, 3.2
1, 21:46:55, 19.4
1, 24:28:35, 20.2
1, 21:51:55, 21.0
1, 20:49:25, 22.0
1, 21:16:05, 26.8
1, 27:03:35, 31.6
1, 24:27:45, 33.0
1, 25:46:55, 34.4
1, 27:42:45, 35.0
1, 22:18:35, 37.6
1, 25:13:35, 39.4
1, 25:44:25, 43.0
1, 28:06:55, 52.0
1, 20:38:35, 57.8
1, 26:32:45, 64.0
1, 27:04:25, 69.2
1, 27:36:05, 73.0
1, 26:52:45, 73.8
1, 24:01:55, 78.0
1, 21:06:55, 83.8
1, 20:31:05, 86.4
1, 24:31:05, 93.4
1, 26:11:05, 97.2
1, 24:17:45, 100.8
1, 26:36:05, 102.2
1, 22:39:25, 105.4
1, 27:45:15, 106.8
1, 27:46:55, 109.8
1, 26:40:15, 111.0
1, 25:41:05, 111.4
1, 21:24:25, 111.8
1, 23:45:15, 113.6
1, 24:59:25, 115.0
1, 21:27:45, 116.8
1, 21:46:05, 117.2
1, 27:00:15, 118.2
1, 24:33:35, 121.8
1, 27:01:05, 122.0
1, 25:16:05, 124.4
1, 24:38:35, 127.8
1, 25:36:05, 130.0
1, 23:40:15, 131.4
1, 22:28:35, 136.8
1, 22:41:05, 140.4
1, 27:14:25, 140.6
1, 26:39:25, 141.8
1, 25:56:55, 146.2
1, 24:02:45, 147.6
1, 23:56:05, 150.4
1, 28:09:25, 153.2
1, 24:48:35, 154.2
1, 23:53:35, 155.0
1, 28:11:55, 163.8
1, 20:46:55, 164.2
1, 25:58:35, 167.0
1, 26:51:05, 167.6
1, 24:24:25, 175.2
1, 20:56:55, 179.2
1, 26:30:15, 181.0
1, 25:07:45, 186.6
1, 23:07:45, 195.2
1, 28:19:25, 199.6
1, 25:57:45, 201.4
1, 22:36:05, 202.6
1, 27:33:35, 204.6
1, 22:44:25, 208.0
1, 28:18:35, 219.4
1, 26:58:35, 222.4
1, 24:56:05, 225.0
1, 25:05:15, 227.4
1, 21:30:15, 230.2
1, 27:55:15, 238.2
1, 23:36:05, 239.0
1, 24:07:45, 239.8
1, 26:07:45, 242.4
1, 28:23:35, 247.6
1, 26:35:15, 248.8
1, 24:36:55, 249.6
1, 23:01:55, 252.2
1, 21:41:05, 256.0
1, 24:04:25, 273.6
1, 21:09:25, 278.6
1, 24:46:05, 279.8
1, 21:58:35, 280.4
1, 27:51:05, 287.6
1, 20:25:15, 293.0
1, 20:36:55, 294.6
1, 23:27:45, 297.4
1, 26:50:15, 307.0
1, 21:08:35, 308.0
1, 22:29:25, 311.2
1, 22:34:25, 311.4
1, 28:38:35, 311.8
1, 20:48:35, 313.2
1, 25:02:45, 314.6
1, 24:47:45, 324.4
1, 28:03:35, 327.6
1, 25:03:35, 328.6
1, 28:15:15, 336.6
1, 22:45:15, 343.6
1, 21:28:35, 347.4
1, 28:40:15, 350.8
1, 23:35:15, 356.4
1, 26:17:45, 358.8
1, 25:10:15, 369.6
1, 22:03:35, 369.8
1, 28:37:45, 375.2
1, 23:23:35, 378.6
1, 25:28:35, 383.0
1, 23:59:25, 384.2
1, 24:37:45, 391.8
1, 21:50:15, 393.4
1, 21:51:05, 394.0
1, 20:54:25, 397.6
1, 23:43:35, 400.8
1, 28:22:45, 401.4
1, 28:36:55, 407.8
1, 23:11:55, 409.6
1, 25:14:25, 426.2
1, 26:29:25, 428.4
1, 20:32:45, 430.4
1, 22:47:45, 430.4
1, 27:52:45, 432.0
1, 20:57:45, 437.0
1, 23:04:25, 438.2
1, 20:41:55, 443.0
1, 20:22:45, 446.4
1, 22:32:45, 447.0
1, 26:16:05, 450.4
1, 22:37:45, 460.4
1, 26:06:05, 464.0
1, 27:44:25, 464.4
1, 25:00:15, 465.2
1, 24:52:45, 469.4
1, 21:29:25, 471.2
1, 27:50:15, 481.4
1, 21:48:35, 488.2
1, 24:40:15, 492.2
1, 23:47:45, 494.6
1, 20:41:05, 498.2
1, 27:51:55, 498.4
1, 25:26:55, 500.4
1, 21:10:15, 513.2
1, 21:35:15, 515.0
1, 23:26:05, 515.2
1, 25:23:35, 518.0
1, 21:22:45, 521.4
1, 22:13:35, 528.4
1, 22:23:35, 528.6
1, 23:06:05, 535.2
1, 22:43:35, 538.2
1, 28:01:05, 543.6
1, 25:48:35, 546.4
1, 24:51:55, 559.4
1, 20:47:45, 571.2
1, 21:36:55, 572.4
1, 24:11:05, 574.2
1, 26:12:45, 580.6
1, 27:08:35, 586.6
1, 24:41:05, 588.0
1, 25:31:55, 605.2
1, 24:14:25, 612.6
1, 26:59:25, 618.0
1, 26:55:15, 620.8
1, 20:42:45, 622.0
1, 23:46:55, 623.0
1, 21:11:05, 630.8
1, 20:55:15, 632.4
1, 25:22:45, 635.4
1, 27:31:05, 638.4
1, 26:31:05, 643.8
1, 28:02:45, 644.8
1, 21:31:05, 649.2
1, 23:33:35, 649.4
1, 20:24:25, 650.4
1, 24:12:45, 651.4
1, 24:58:35, 652.4
1, 20:34:25, 658.6
1, 24:54:25, 660.0
1, 25:21:05, 660.8
1, 27:21:55, 675.6
1, 28:39:25, 678.8
1, 24:53:35, 680.4
1, 26:43:35, 682.4
1, 26:08:35, 695.8
1, 20:45:15, 706.0
1, 21:23:35, 706.8
1, 23:08:35, 710.0
1, 26:51:55, 723.6
1, 27:36:55, 726.4
1, 26:31:55, 726.6
1, 25:04:25, 729.0
1, 25:56:05, 740.4
1, 28:36:05, 746.8
1, 22:48:35, 753.2
1, 26:38:35, 753.6
1, 26:45:15, 755.2
1, 20:27:45, 757.6
1, 23:16:55, 760.6
1, 22:20:15, 769.8
1, 23:20:15, 770.2
1, 21:11:55, 771.8
1, 23:42:45, 775.4
1, 26:36:55, 777.0
1, 23:57:45, 800.4
1, 28:21:55, 801.8
1, 20:58:35, 805.0
1, 25:52:45, 824.4
1, 23:44:25, 834.6
1, 25:32:45, 838.2
1, 24:00:15, 861.8
1, 26:23:35, 862.2
1, 27:05:15, 866.2
1, 24:41:55, 869.6
1, 27:10:15, 872.8
1, 22:11:55, 874.0
1, 20:29:25, 883.0
1, 28:20:15, 883.6
1, 26:26:55, 887.8
1, 23:10:15, 889.2
1, 26:14:25, 894.2
1, 28:01:55, 903.8
1, 26:00:15, 912.8
1, 21:16:55, 913.6
1, 27:12:45, 922.6
1, 27:01:55, 926.4
1, 27:59:25, 926.6
1, 22:16:55, 939.8
1, 25:06:05, 948.0
1, 22:01:55, 955.6
1, 27:25:15, 961.2
1, 22:25:15, 961.6
1, 24:57:45, 967.0
1, 21:49:25, 968.0
1, 27:16:05, 974.4
1, 28:31:55, 983.6
1, 20:53:35, 984.4
1, 27:48:35, 986.2
1, 22:08:35, 994.8
1, 23:18:35, 1004.0
1, 22:21:55, 1008.4
1, 23:09:25, 1008.8
1, 22:51:55, 1014.0
1, 27:32:45, 1018.8
1, 28:16:55, 1030.2
1, 27:06:55, 1033.6
1, 23:50:15, 1039.4
1, 26:37:45, 1043.4
1, 26:24:25, 1050.4
1, 20:28:35, 1057.0
1, 20:37:45, 1058.4
1, 24:50:15, 1071.8
1, 21:26:55, 1080.2
1, 21:25:15, 1100.4
1, 28:07:45, 1100.6
1, 28:00:15, 1107.6
1, 24:21:05, 1113.2
1, 22:51:05, 1116.6
1, 21:56:05, 1134.6
1, 24:32:45, 1136.6
1, 25:18:35, 1139.8
1, 23:00:15, 1142.4
1, 28:28:35, 1161.4
1, 24:31:55, 1164.6
1, 20:30:15, 1172.2
1, 25:24:25, 1177.6
1, 27:53:35, 1177.6
1, 22:17:45, 1182.8
1, 25:01:55, 1192.8
1, 27:22:45, 1211.0
1, 24:05:15, 1211.2
1, 26:41:05, 1213.4
1, 24:43:35, 1227.0
1, 26:02:45, 1231.2
1, 22:46:55, 1234.8
1, 28:08:35, 1242.8
1, 26:26:05, 1243.6
1, 27:11:05, 1259.4
1, 25:36:55, 1268.2
1, 22:41:55, 1269.8
1, 27:17:45, 1271.6
