id, time, values
1, 17:10:56, 13326
2, 17:10:56, 12689
3, 17:10:56, 16978
1, 17:10:59, 6560
2, 17:10:59, 18103
3, 17:10:59, 30562
1, 17:11:02, 2747
2, 17:11:02, 14607
3, 17:11:02, 11178
1, 17:11:05, 30469
2, 17:11:05, 6044
3, 17:11:05, 10574
1, 17:11:08, 26498
2, 17:11:08, 10749
3, 17:11:08, 9852
1, 17:11:11, 29596
2, 17:11:11, 22805
3, 17:11:11, 17426
1, 17:11:14, 27409
2, 17:11:14, 20387
3, 17:11:14, 8430
1, 17:11:17, 19702
2, 17:11:17, 21077
3, 17:11:17, 10821
1, 17:11:20, 7422
2, 17:11:20, 32040
3, 17:11:20, 31708
1, 17:11:23, 2456
2, 17:11:23, 19598
3, 17:11:23, 25113
1, 17:11:26, 23908
2, 17:11:26, 29231
3, 17:11:26, 12408
1, 17:11:29, 3470
2, 17:11:29, 17582
3, 17:11:29, 12700
1, 17:11:32, 31639
2, 17:11:32, 21573
3, 17:11:32, 11148
1, 17:11:35, 12850
2, 17:11:35, 10108
3, 17:11:35, 24539
1, 17:11:38, 4668
2, 17:11:38, 15376
3, 17:11:38, 16738
1, 17:11:41, 6125
2, 17:11:41, 21492
3, 17:11:41, 18267
1, 17:11:44, 868
2, 17:11:44, 9854
3, 17:11:44, 10686
1, 17:11:47, 17354
2, 17:11:47, 3566
3, 17:11:47, 7064
1, 17:11:50, 20358
2, 17:11:50, 31080
3, 17:11:50, 21874
1, 17:11:53, 29750
2, 17:11:53, 32625
3, 17:11:53, 26261
1, 17:11:56, 6236
2, 17:11:56, 2146
3, 17:11:56, 14193
1, 17:11:59, 16206
2, 17:11:59, 28999
3, 17:11:59, 9371
1, 17:12:02, 32023
2, 17:12:02, 29103
3, 17:12:02, 22897
1, 17:12:05, 21113
2, 17:12:05, 5032
3, 17:12:05, 21430
1, 17:12:08, 12140
2, 17:12:08, 5268
3, 17:12:08, 22642
1, 17:12:11, 24138
2, 17:12:11, 5655
3, 17:12:11, 6561
1, 17:12:14, 14688
2, 17:12:14, 6524
3, 17:12:14, 16333
1, 17:12:17, 10974
2, 17:12:17, 31181
3, 17:12:17, 7692
1, 17:12:20, 31196
2, 17:12:20, 22961
3, 17:12:20, 14742
1, 17:12:23, 20527
2, 17:12:23, 3129
3, 17:12:23, 12427
