id, time, values
1, 07:11:15, 956.0
2, 07:11:16, 2381.8
3, 07:11:17, 1714.8
1, 07:11:18, 1541.8
2, 07:11:19, 1208.8
3, 07:11:20, 2376.8
1, 07:11:21, 2246.6
2, 07:11:22, 171.6
3, 07:11:23, 2089.8
1, 07:11:24, 840.8
2, 07:11:25, 1912.0
3, 07:11:26, 1067.0
1, 07:11:27, 90.2
2, 07:11:28, 1479.8
3, 07:11:29, 131.0
1, 07:11:30, 2185.6
2, 07:11:31, 1194.4
3, 07:11:32, 1676.4
1, 07:11:33, 1672.4
2, 07:11:34, 640.2
3, 07:11:35, 939.6
1, 07:11:36, 1713.6
2, 07:11:37, 509.0
3, 07:11:38, 1113.4
1, 07:11:39, 1023.4
2, 07:11:40, 865.8
3, 07:11:41, 2422.4
1, 07:11:42, 2574.2
2, 07:11:43, 2477.4
3, 07:11:44, 604.0
